Number,Series,Division,MatchType,Date,Time,TeamOne,TeamTwo,Ground,UmpireOne,UmpireTwo,UmpireThree,UmpireFour,MatchManager,Scorer1,Scorer2
1,CPLKC-T15-SPRING-2026,Div C,League,04/26/2026,1:30 PM,Kansas Eagles,Sixers,OCG,Pirates,Pirates,,,,,
2,CPLKC-T15-SPRING-2026,Div B,League,04/25/2026,8:00 AM,Nepal XI,Rising Stars,OCG,World XI,World XI,,,,,
3,CPLKC-T15-SPRING-2026,Div B,League,05/02/2026,8:00 AM,Blue Titans,KC Royals,OCG,Jaguars,Jaguars,,,,,
4,CPLKC-T15-SPRING-2026,Div B,League,05/10/2026,10:45 AM,KC Royals,Rising Stars,PCG,KC Fusion,KC Fusion,,,,,
5,CPLKC-T15-SPRING-2026,Div B,League,05/17/2026,8:00 AM,KC Royals,Nepal XI,OCG,Jaguars,Jaguars,,,,,
6,CPLKC-T15-SPRING-2026,Div B,League,05/30/2026,10:45 AM,KC Royals,Wolves,PCG,Elites XI,Elites XI,,,,,
7,CPLKC-T15-SPRING-2026,Div B,League,06/07/2026,8:00 AM,KC Royals,Sunrisers Lakes XI,OCG,KC Supernovas,KC Supernovas,,,,,
8,CPLKC-T15-SPRING-2026,Div C,League,05/02/2026,1:30 PM,Kansas Eagles,KC Blues,PCG,Killer XI,Killer XI,,,,,
9,CPLKC-T15-SPRING-2026,Div B,League,06/13/2026,10:45 AM,Dominators,KC Royals,OCG,Jaguars,Jaguars,,,,,
10,CPLKC-T15-SPRING-2026,Div B,League,06/20/2026,8:00 AM,KC Royals,Killer XI,PCG,Bharat XI,Bharat XI,,,,,
11,CPLKC-T15-SPRING-2026,Div B,League,06/27/2026,10:45 AM,KC Royals,Pehlwan XI,OCG,KC Fusion,KC Fusion,,,,,
12,CPLKC-T15-SPRING-2026,Div C,League,05/09/2026,4:15 PM,Bharat XI,Kansas Eagles,PCG,Elites XI,Elites XI,,,,,
13,CPLKC-T15-SPRING-2026,Div C,League,05/17/2026,4:15 PM,Kansas Eagles,Prime XI,PCG,Dominators,Dominators,,,,,
14,CPLKC-T15-SPRING-2026,Div C,League,05/31/2026,1:30 PM,Kansas Eagles,KC Lions,OCG,KC Legends,KC Legends,,,,,
15,CPLKC-T15-SPRING-2026,Div D,League,04/26/2026,4:15 PM,Punjab Eagles,Punjab XI,PCG,Tuskers,Tuskers,,,,,
16,CPLKC-T15-SPRING-2026,Div D,League,05/03/2026,10:45 AM,Bengal Warriors,Punjab XI,OCG,KC Blues,KC Blues,,,,,
17,CPLKC-T15-SPRING-2026,Div D,League,05/09/2026,1:30 PM,KC Supernovas,Punjab XI,PCG,Telugu Yuvatha,Telugu Yuvatha,,,,,
18,CPLKC-T15-SPRING-2026,Div C,League,05/17/2026,4:15 PM,KC Blues,KC Lions,OCG,Nepal XI,Nepal XI,,,,,
19,CPLKC-T15-SPRING-2026,Div A,League,04/25/2026,8:00 AM,Kansas Kings,Tuskers,PCG,Rising Stars,Rising Stars,,,,,
20,CPLKC-T15-SPRING-2026,Div C,League,06/13/2026,1:30 PM,Blue Caps,Kansas Eagles,OCG,Elites XI,Elites XI,,,,,
21,CPLKC-T15-SPRING-2026,Div A,League,05/03/2026,4:15 PM,KC Raptors,Tuskers,PCG,Ace XI,Ace XI,,,,,
22,CPLKC-T15-SPRING-2026,Div A,League,05/16/2026,8:00 AM,Lakes XI,Tuskers,OCG,Blue Titans,Blue Titans,,,,,
23,CPLKC-T15-SPRING-2026,Div A,League,05/09/2026,1:30 PM,Pirates,Tuskers,OCG,Shivams,Shivams,,,,,
24,CPLKC-T15-SPRING-2026,Div D,League,05/16/2026,10:45 AM,KC Legends,Punjab XI,OCG,Lakes XI,Lakes XI,,,,,
25,CPLKC-T15-SPRING-2026,Div C,League,06/07/2026,4:15 PM,Kansas Eagles,Midwest Warriors,OCG,Pirates,Pirates,,,,,
26,CPLKC-T15-SPRING-2026,Div B,League,05/17/2026,1:30 PM,Blue Titans,Rising Stars,OCG,Prime XI,Prime XI,,,,,
27,CPLKC-T15-SPRING-2026,Div C,League,06/20/2026,8:00 AM,Ace XI,Kansas Eagles,OCG,Nepal XI,Nepal XI,,,,,
28,CPLKC-T15-SPRING-2026,Div C,League,05/30/2026,10:45 AM,Blue Caps,KC Blues,OCG,Punjab Eagles,Punjab Eagles,,,,,
29,CPLKC-T15-SPRING-2026,Div B,League,05/31/2026,4:15 PM,Blue Titans,Nepal XI,OCG,Bengal Warriors,Bengal Warriors,,,,,
30,CPLKC-T15-SPRING-2026,Div B,League,05/10/2026,8:00 AM,Blue Titans,Wolves,OCG,Bengal Warriors,Bengal Warriors,,,,,
31,CPLKC-T15-SPRING-2026,Div C,League,05/03/2026,1:30 PM,Bharat XI,Jaguars,OCG,Punjab Eagles,Punjab Eagles,,,,,
32,CPLKC-T15-SPRING-2026,Div D,League,05/16/2026,4:15 PM,KC Supernovas,Punjab Eagles,OCG,Tuskers,Tuskers,,,,,
33,CPLKC-T15-SPRING-2026,Div A,League,05/03/2026,10:45 AM,Kansas Kings,Lakes XI,PCG,Midwest Warriors,Midwest Warriors,,,,,
34,CPLKC-T15-SPRING-2026,Div A,League,05/16/2026,1:30 PM,Kansas Kings,Pirates,OCG,Wolves,Wolves,,,,,
35,CPLKC-T15-SPRING-2026,Div B,League,05/02/2026,10:45 AM,Rising Stars,Wolves,OCG,Prime XI,Prime XI,,,,,
36,CPLKC-T15-SPRING-2026,Div C,League,04/25/2026,4:15 PM,Bharat XI,Prime XI,OCG,Lakes XI,Lakes XI,,,,,
37,CPLKC-T15-SPRING-2026,Div C,League,05/09/2026,10:45 AM,Jaguars,Sixers,OCG,KC Legends,KC Legends,,,,,
38,CPLKC-T15-SPRING-2026,Div C,League,05/31/2026,8:00 AM,Jaguars,Prime XI,OCG,Rc's XI,Rc's XI,,,,,
39,CPLKC-T15-SPRING-2026,Div A,League,05/10/2026,1:30 PM,KC Raptors,Lakes XI,OCG,KC Supernovas,KC Supernovas,,,,,
40,CPLKC-T15-SPRING-2026,Div A,League,05/30/2026,4:15 PM,KC Raptors,Pirates,OCG,Midwest Warriors,Midwest Warriors,,,,,
41,CPLKC-T15-SPRING-2026,Div A,League,05/17/2026,10:45 AM,KC Raptors,Telugu Yuvatha,OCG,Pehlwan XI,Pehlwan XI,,,,,
42,CPLKC-T15-SPRING-2026,Div A,League,04/25/2026,1:30 PM,Lakes XI,Pirates,OCG,Blue Titans,Blue Titans,,,,,
43,CPLKC-T15-SPRING-2026,Div A,League,05/31/2026,8:00 AM,Lakes XI,Telugu Yuvatha,PCG,KC Lions,KC Lions,,,,,
44,CPLKC-T15-SPRING-2026,Div A,League,05/02/2026,4:15 PM,Pirates,Telugu Yuvatha,OCG,Sixers,Sixers,,,,,
45,CPLKC-T15-SPRING-2026,Div B,League,06/14/2026,8:00 AM,Nepal XI,Wolves,OCG,Prime XI,Prime XI,,,,,
46,CPLKC-T15-SPRING-2026,Div C,League,06/14/2026,1:30 PM,KC Blues,Midwest Warriors,OCG,Pehlwan XI,Pehlwan XI,,,,,
47,CPLKC-T15-SPRING-2026,Div C,League,06/06/2026,10:45 AM,Jaguars,KC Lions,OCG,KC Fusion,KC Fusion,,,,,
48,CPLKC-T15-SPRING-2026,Div D,League,05/30/2026,4:15 PM,Punjab XI,Shivams,PCG,Ace XI,Ace XI,,,,,
49,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,8:00 AM,Punjab XI,Rc's XI,OCG,World XI,World XI,,,,,
50,CPLKC-T15-SPRING-2026,Div D,League,06/13/2026,4:15 PM,Elites XI,Punjab XI,OCG,Kansas Eagles,Kansas Eagles,,,,,
51,CPLKC-T15-SPRING-2026,Div D,League,06/20/2026,1:30 PM,KC Khiladis,Punjab XI,OCG,Killer XI,Killer XI,,,,,
52,CPLKC-T15-SPRING-2026,Div A,League,04/26/2026,10:45 AM,KC Raptors,KC Rockers,OCG,Wolves,Wolves,,,,,
53,CPLKC-T15-SPRING-2026,Div A,League,06/07/2026,1:30 PM,KC Raptors,LIMRA Defenders,OCG,Blue Titans,Blue Titans,,,,,
54,CPLKC-T15-SPRING-2026,Div A,League,06/14/2026,10:45 AM,KC Raptors,World XI,OCG,KC Blues,KC Blues,,,,,
55,CPLKC-T15-SPRING-2026,Div A,League,05/10/2026,10:45 AM,KC Rockers,Telugu Yuvatha,OCG,KC Khiladis,KC Khiladis,,,,,
56,CPLKC-T15-SPRING-2026,Div A,League,06/20/2026,10:45 AM,LIMRA Defenders,Pirates,OCG,Ace XI,Ace XI,,,,,
57,CPLKC-T15-SPRING-2026,Div A,League,06/14/2026,4:15 PM,LIMRA Defenders,Telugu Yuvatha,OCG,Dominators,Dominators,,,,,
58,CPLKC-T15-SPRING-2026,Div A,League,06/27/2026,8:00 AM,Pirates,World XI,OCG,Bengal Warriors,Bengal Warriors,,,,,
59,CPLKC-T15-SPRING-2026,Div A,League,06/07/2026,10:45 AM,Telugu Yuvatha,World XI,OCG,Rising Stars,Rising Stars,,,,,
60,CPLKC-T15-SPRING-2026,Div B,League,06/21/2026,8:00 AM,Nepal XI,Sunrisers Lakes XI,OCG,Rc's XI,Rc's XI,,,,,
61,CPLKC-T15-SPRING-2026,Div C,League,05/02/2026,1:30 PM,KC Lions,Sixers,OCG,KC Royals,KC Royals,,,,,
62,CPLKC-T15-SPRING-2026,Div C,League,06/06/2026,1:30 PM,Ace XI,KC Blues,OCG,KC Khiladis,KC Khiladis,,,,,
63,CPLKC-T15-SPRING-2026,Div C,League,06/21/2026,1:30 PM,KC Lions,Prime XI,OCG,KC Legends,KC Legends,,,,,
64,CPLKC-T15-SPRING-2026,Div A,League,05/17/2026,8:00 AM,KC Rockers,LIMRA Defenders,PCG,Sunrisers Lakes XI,Sunrisers Lakes XI,,,,,
65,CPLKC-T15-SPRING-2026,Div A,League,05/31/2026,10:45 AM,KC Rockers,World XI,OCG,Blue Caps,Blue Caps,,,,,
66,CPLKC-T15-SPRING-2026,Div A,League,05/10/2026,4:15 PM,LIMRA Defenders,World XI,OCG,Punjab XI,Punjab XI,,,,,
67,CPLKC-T15-SPRING-2026,Div D,League,05/02/2026,8:00 AM,KC Legends,Punjab Eagles,PCG,Pehlwan XI,Pehlwan XI,,,,,
68,CPLKC-T15-SPRING-2026,Div D,League,05/10/2026,8:00 AM,Bengal Warriors,KC Legends,PCG,Rising Stars,Rising Stars,,,,,
69,CPLKC-T15-SPRING-2026,Div C,League,05/16/2026,8:00 AM,Bharat XI,Blue Caps,PCG,KC Raptors,KC Raptors,,,,,
70,CPLKC-T15-SPRING-2026,Div C,League,06/20/2026,4:15 PM,Blue Caps,Jaguars,OCG,Punjab Eagles,Punjab Eagles,,,,,
71,CPLKC-T15-SPRING-2026,Div D,League,04/25/2026,10:45 AM,KC Legends,KC Supernovas,OCG,Telugu Yuvatha,Telugu Yuvatha,,,,,
72,CPLKC-T15-SPRING-2026,Div D,League,04/26/2026,4:15 PM,Bengal Warriors,KC Fusion,OCG,Sunrisers Lakes XI,Sunrisers Lakes XI,,,,,
73,CPLKC-T15-SPRING-2026,Div B,League,06/07/2026,8:00 AM,Blue Titans,Dominators,PCG,Punjab XI,Punjab XI,,,,,
74,CPLKC-T15-SPRING-2026,Div B,League,06/28/2026,8:00 AM,Blue Titans,Killer XI,OCG,KC Supernovas,KC Supernovas,,,,,
75,CPLKC-T15-SPRING-2026,Div B,League,06/20/2026,1:30 PM,Blue Titans,Pehlwan XI,PCG,Midwest Warriors,Midwest Warriors,,,,,
76,CPLKC-T15-SPRING-2026,Div C,League,05/30/2026,8:00 AM,Bharat XI,Midwest Warriors,OCG,Killer XI,Killer XI,,,,,
77,CPLKC-T15-SPRING-2026,Div C,League,05/16/2026,1:30 PM,Jaguars,Midwest Warriors,PCG,Pirates,Pirates,,,,,
78,CPLKC-T15-SPRING-2026,Div D,League,05/09/2026,8:00 AM,Punjab Eagles,Shivams,OCG,KC Lions,KC Lions,,,,,
79,CPLKC-T15-SPRING-2026,Div D,League,05/30/2026,1:30 PM,Punjab Eagles,Rc's XI,OCG,KC Blues,KC Blues,,,,,
80,CPLKC-T15-SPRING-2026,Div D,League,06/06/2026,4:15 PM,Elites XI,Punjab Eagles,OCG,KC Raptors,KC Raptors,,,,,
81,CPLKC-T15-SPRING-2026,Div D,League,06/13/2026,8:00 AM,KC Khiladis,Punjab Eagles,OCG,KC Rockers,KC Rockers,,,,,
82,CPLKC-T15-SPRING-2026,Div D,League,05/03/2026,8:00 AM,KC Fusion,KC Supernovas,OCG,Nepal XI,Nepal XI,,,,,
