Number,Series,Division,MatchType,Date,Time,TeamOne,TeamTwo,Ground,UmpireOne,UmpireTwo,UmpireThree,UmpireFour,MatchManager,Scorer1,Scorer2
1,2026 TAGKC T-10 SAVAALU,DivisionA,League,04/18/2026,7:00 AM,Bezawada Bullets,Hyderabad Hitters,OCG,Guntur Giants,Nellore Knights,,,,,
2,2026 TAGKC T-10 SAVAALU,DivisionA,League,04/25/2026,9:30 AM,Bezawada Bullets,KarimNagar Khatarnaks,Central Park,Guntur Giants,Telangana Titans,,,,,
3,2026 TAGKC T-10 SAVAALU,DivisionA,League,05/02/2026,3:00 PM,Hyderabad Hitters,KarimNagar Khatarnaks,OCG,Bezawada Bullets,Vizag Warriors,,,,,
4,2026 TAGKC T-10 SAVAALU,DivisionB,League,04/18/2026,7:00 AM,Guntur Giants,Nellore Knights,Central Park,Bezawada Bullets,Hyderabad Hitters,,,,,
5,2026 TAGKC T-10 SAVAALU,DivisionA,League,05/02/2026,9:30 AM,Bezawada Bullets,Vizag Warriors,OCG,Nellore Knights,Telangana Titans,,,,,
6,2026 TAGKC T-10 SAVAALU,DivisionA,League,04/25/2026,3:00 PM,Hyderabad Hitters,Vizag Warriors,Central Park,Nellore Knights,Warangal Wolves,,,,,
7,2026 TAGKC T-10 SAVAALU,DivisionA,League,04/18/2026,9:30 AM,KarimNagar Khatarnaks,Vizag Warriors,OCG,Telangana Titans,Warangal Wolves,,,,,
8,2026 TAGKC T-10 SAVAALU,DivisionB,League,04/25/2026,7:00 AM,Guntur Giants,Telangana Titans,Central Park,Warangal Wolves,Bezawada Bullets,,,,,
9,2026 TAGKC T-10 SAVAALU,DivisionB,League,05/02/2026,3:00 PM,Guntur Giants,Warangal Wolves,Central Park,KarimNagar Khatarnaks,Hyderabad Hitters,,,,,
10,2026 TAGKC T-10 SAVAALU,DivisionB,League,05/02/2026,7:00 AM,Nellore Knights,Telangana Titans,OCG,Vizag Warriors,Hyderabad Hitters,,,,,
11,2026 TAGKC T-10 SAVAALU,DivisionB,League,04/25/2026,9:30 AM,Nellore Knights,Warangal Wolves,OCG,KarimNagar Khatarnaks,Hyderabad Hitters,,,,,
12,2026 TAGKC T-10 SAVAALU,DivisionB,League,04/18/2026,3:00 PM,Telangana Titans,Warangal Wolves,Central Park,KarimNagar Khatarnaks,Vizag Warriors,,,,,
