Division,TeamOne,TeamTwo,Reason
Div A,Lakes XI,Tuskers,Displaced by backtrack — could not be re-placed.
Div A,Kansas Kings,Tuskers,Displaced by backtrack — could not be re-placed.
Div A,LIMRA Defenders,Tuskers,No valid slot found even after backtrack attempt.
Div A,Tuskers,World XI,No valid slot found even after backtrack attempt.
Div A,Kansas Kings,World XI,Displaced by backtrack — could not be re-placed.
Div A,KC Rockers,Tuskers,Displaced by backtrack — could not be re-placed.
Div B,Blue Titans,Wolves,Displaced by backtrack — could not be re-placed.
Div A,Kansas Kings,KC Raptors,Displaced by backtrack — could not be re-placed.
Div A,Lakes XI,LIMRA Defenders,Displaced by backtrack — could not be re-placed.
Div B,KC Royals,Wolves,Displaced by backtrack — could not be re-placed.
Div C,Kansas Eagles,KC Lions,Displaced by backtrack — could not be re-placed.
Div B,Dominators,KC Royals,Displaced by backtrack — could not be re-placed.
